,of,ct,duracao,semana,ov
0,383387125,52,31,-1,3820011016
1,383387125,52,31,-1,3820011016
2,383387129,52,750,-1,3820011202
3,383387129,52,750,-1,3820011202
4,383387130,52,83,-1,3820011202
5,383387130,52,83,-1,3820011202
6,383387155,52,222,-1,3820011118
7,383387156,52,250,-1,3820011202
8,383387156,52,250,-1,3820011202
9,383387165,52,130,-1,3820011118
10,383387176,52,204,-1,3826000006
11,383387177,52,182,-1,3826000006
12,383387199,52,202,-1,3820007537
13,383387250,52,800,7,3820003933
14,383387253,52,1560,7,3820011193
15,383387254,52,67,7,3820011188
16,383388180,52,8,7,3820010237
17,383388181,52,99,7,3820010525
18,383388250,52,1638,3,3820000476
19,383389026,52,15,7,3823000504
20,383389026,52,15,3,3823000504
21,383389026,52,15,3,3823000504
22,383389026,52,15,3,3823000504
23,383389026,52,15,3,3823000504
24,383389026,52,15,3,3823000504
25,383389026,52,15,3,3823000504
26,383389026,52,15,3,3823000504
27,383389058,52,8,3,3820001587
28,1600005217,52,204,7,3820000685
29,1600005218,52,204,7,3820000686
30,1600016798,52,2773,-1,3820003933
31,1600016799,52,2773,-1,3820003933
32,1600016800,52,2773,-1,3820003933
33,1600016801,52,2773,-1,3820003933
34,1600016802,52,2773,-1,3820003933
35,1600016803,52,2773,0,3820003933
36,1600016804,52,2773,0,3820003933
37,1600016805,52,2773,0,3820003933
38,1600016806,52,2773,0,3820003933
39,1600016807,52,2773,0,3820003933
40,1600016808,52,2773,0,3820003933
41,1600016809,52,2773,0,3820003933
42,1600016810,52,2773,0,3820003933
43,1600016811,52,2773,0,3820003933
44,1600016812,52,2773,0,3820003933
45,1600016813,52,2773,1,3820003933
46,1600016814,52,2773,1,3820003933
47,1600016815,52,2773,1,3820003933
48,1600016816,52,2773,1,3820003933
49,1600016817,52,2773,1,3820003933
50,1600016818,52,2773,1,3820003933
51,1600016819,52,2773,1,3820003933
52,1600016820,52,2773,1,3820003933
53,1600016821,52,2773,1,3820003933
54,1600016822,52,2773,1,3820003933
55,1600016823,52,2773,2,3820003933
56,1600016824,52,2773,2,3820003933
57,1600016825,52,2773,2,3820003933
58,1600016826,52,2773,2,3820003933
59,1600016827,52,2773,2,3820003933
60,1600016828,52,2773,2,3820003933
61,1600016829,52,2773,2,3820003933
62,1600016830,52,2773,2,3820003933
63,1600016831,52,2773,2,3820003933
64,1600016832,52,2773,2,3820003933
65,1600016833,52,2773,3,3820003933
66,1600016834,52,2773,3,3820003933
67,1600016835,52,2773,3,3820003933
68,1600016836,52,2773,3,3820003933
69,1600016837,52,2773,3,3820003933
70,1600017600,52,3782,7,3820003985
71,1600017601,52,3782,3,3820003985
72,1600017602,52,3782,4,3820003985
73,1600020702,52,2327,7,3820004731
74,1600022938,52,701,7,3820005150
75,1600022939,52,178,3,3820005150
76,1600022940,52,112,3,3820005150
77,1600022946,52,117,3,3820005150
78,1600022947,52,701,7,3820005152
79,1600022948,52,178,3,3820005152
80,1600022955,52,112,3,3820005152
81,1600022958,52,64,3,3820005152
82,1600022965,52,117,3,3820005152
83,1600022966,52,117,3,3820005152
84,1600023027,52,112,3,3820005152
85,1600023028,52,64,3,3820005152
86,1600023067,52,64,3,3820005150
87,1600023079,52,701,8,3820005154
88,1600023083,52,178,3,3820005154
89,1600023243,52,112,3,3820005154
90,1600023245,52,64,3,3820005154
91,1600023247,52,117,3,3820005154
92,1600023249,52,701,8,3820005155
93,1600023250,52,178,3,3820005155
94,1600023251,52,112,4,3820005155
95,1600023252,52,64,4,3820005155
96,1600031366,52,177,8,3820006830
97,1600031367,52,177,3,3820006830
98,1600031368,52,177,3,3820006830
99,1600031373,52,183,8,3820006831
100,1600031374,52,183,4,3820006831
101,1600031375,52,183,4,3820006831
102,1600031376,52,183,4,3820006831
103,1600031377,52,183,4,3820006831
104,1600031378,52,183,4,3820006831
105,1600031584,52,3086,8,3826000005
106,1600031585,52,3086,4,3826000005
107,1600031586,52,3086,4,3826000005
108,1600031587,52,3086,4,3826000005
109,1600031588,52,3086,4,3826000005
110,1600031589,52,1714,4,3826000005
111,1600034432,52,76,8,3820007110
112,1600034434,52,76,3,3820007110
113,1600034451,52,76,4,3820007110
114,1600034454,52,89,4,3820007110
115,1600034459,52,89,4,3820007110
116,1600034462,52,101,4,3820007110
117,1600034487,52,89,4,3820007110
118,1600035265,52,177,3,3820006830
119,1600035268,52,183,4,3820006831
120,1600035271,52,183,4,3820006831
121,1600036974,52,3617,8,3820005211
122,1600036974,52,3617,4,3820005211
123,1600037151,52,3782,4,3820003985
124,1600037152,52,291,8,3820002904
125,1600037646,52,67,8,3820007366
126,1600039845,52,52,8,3820007708
127,1600039887,52,2498,-1,3820007537
128,1600040341,52,60,8,3820007838
129,1600040344,52,171,5,3820007838
130,1600040981,52,1330,-1,3820007537
131,1600041977,52,661,8,3823000254
132,1600041977,52,661,5,3823000254
133,1600041977,52,661,5,3823000254
134,1600041977,52,661,5,3823000254
