Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Data de criação da ov,Sold to,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção,Unnamed: 24
CCS,LIB,ZCEA,3826000009,40,11/06/2021,Ocasional3,LOGISTICA,1600082022,09/07/2021,09/07/2021,14/07/2021,202128,72001726,MB CC 8003 500X400 104 04,3000,72001180,MB CC 8003 500X400 104,3000,CCS-EMBALAGEM ACABAMENTOS,CCSEBAAC,6,PT,0,
CCS,LIB,ZCEA,3826000008,80,26/05/2021,Ocasional3,LOGISTICA,1600082021,09/07/2021,09/07/2021,14/07/2021,202128,72001726,MB CC 8003 500X400 104 04,1000,72001180,MB CC 8003 500X400 104,1000,CCS-EMBALAGEM ACABAMENTOS,CCSEBAAC,2,PT,0,
CRM - Transformaçã,ABER,ZRRL,3826000006,10,,,,1600073636,16/07/2021,17/07/2021,,0,70006584,"RL CR 711G/PAL 1040X1,5 NE",792,70000933,CL CR 711G 1067X635 NE,5.841,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,4.283,,0,
CRM - Transformaçã,ABER,ZRRL,3826000006,20,,,,1600073638,16/07/2021,17/07/2021,,0,70006584,"RL CR 711G/PAL 1040X1,5 NE",704,70000933,CL CR 711G 1067X635 NE,5.192,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,3.808,,0,
CRM - Transformaçã,ABER,ZRER,3826000006,10,21/01/2021,UNIVERSAL GASKETS,DMEDEIROS,1600073635,16/07/2021,17/07/2021,14/07/2021,202128,70003130,"RL CR 711G/PAL 1040X1,5-44M 01",18,70006584,"RL CR 711G/PAL 1040X1,5 NE",792,CRM-MEI,CRMRLMEI,3.405,IN,0,
CRM - Transformaçã,ABER,ZRER,3826000006,20,21/01/2021,UNIVERSAL GASKETS,DMEDEIROS,1600073637,16/07/2021,17/07/2021,14/07/2021,202129,70003130,"RL CR 711G/PAL 1040X1,5-44M 01",16,70006584,"RL CR 711G/PAL 1040X1,5 NE",704,CRM-MEI,CRMRLMEI,3.027,IN,0,
CRM - Transformaçã,,KD,3826000005,10,,,,383996641,06/09/2021,07/09/2021,,0,70015574,RL CI 5700/T01 1000X20/10 NE,1440,70015573,"RL CI 5700/T01 1000X30,0 NE",720,CRM-DIVISORA,CRMDIV01,26.182,,0,
CRM - Transformaçã,,KD,3826000005,10,,,,383997008,06/09/2021,07/09/2021,,0,70015573,"RL CI 5700/T01 1000X30,0 NE",720,70001946,CL CI 5700 1067X990 NE,38.772,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,26.182,,0,
CRM - Transformaçã,,KD,3826000005,20,,,,383996642,13/09/2021,14/09/2021,,0,70015574,RL CI 5700/T01 1000X20/10 NE,1440,70015573,"RL CI 5700/T01 1000X30,0 NE",720,CRM-DIVISORA,CRMDIV01,26.182,,0,
CRM - Transformaçã,,KD,3826000005,20,,,,383997009,13/09/2021,14/09/2021,,0,70015573,"RL CI 5700/T01 1000X30,0 NE",720,70001946,CL CI 5700 1067X990 NE,38.772,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,26.182,,0,
CRM - Transformaçã,,KD,3826000005,30,,,,383996643,13/09/2021,14/09/2021,,0,70015574,RL CI 5700/T01 1000X20/10 NE,1440,70015573,"RL CI 5700/T01 1000X30,0 NE",720,CRM-DIVISORA,CRMDIV01,26.182,,0,
