,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima,duração,semana precedencia,número de semanas,Código Material,Quantidade Material,Código Consumo,Quantidade Consumo,Descrição Consumo,Semana com mesma ref,aglomerado,c
0,385201578,80.0,20,3823001115.0,60,45,CNMLAMPL,Total,50.47,2304,0.0,"PL CI 5404/PAK 915X610X5,0 NE",47,470.4,47,1,70007034,1960.0,70007153,50.47,BL CI 5404/ORT 915X610X200 NE,-1,-1,0
1,385201561,80.0,20,3823001115.0,60,45,CNMEMBPL,Total,0.0,2304,0.0,"PL CI 5404/PAK 915X610X5,0 01",49,391.98,60,1,70005434,1960.0,70007034,1960.0,"PL CI 5404/PAK 915X610X5,0 NE",-1,-1,0
2,385201582,70.0,20,3823001115.0,60,45,CRMLAMRL,Total,0.0,2304,0.0,"RL CI 5404/000 1220X10,0 NE",59,240.89999999999998,47,1,70021800,220.8,70004155,3.382,CL CI 5404 1270X990 NE,-1,-1,0
3,385201557,70.0,20,3823001115.0,60,45,CRMRLMEI,Total,0.0,2304,0.0,"RL CI 5404/PAK 1220X10,0-4,6M 00",60,191.7,60,1,70004185,48.0,70021800,220.8,"RL CI 5404/000 1220X10,0 NE",-1,-1,0
4,385201580,60.0,20,3823001115.0,60,45,CRMLAMRL,Total,0.0,2304,0.0,"RL CR N711/000 1067X1,2 NE",59,148.26,47,1,70007973,496.0,70000910,2.74,CL CR N711 1067X635 NE,-1,-1,0
5,385201556,60.0,20,3823001115.0,60,45,CRMRLMEI,Total,0.0,2304,0.0,"RL CR N711/000 1067X1,2-31M 01",60,104.7,60,1,70002989,16.0,70007973,496.0,"RL CR N711/000 1067X1,2 NE",-1,-1,0
6,385201575,50.0,20,3823001115.0,60,45,CNMVSMRL,Total,0.0,2304,0.0,"RL CC 8210/000 1220X5,8-15,25M NE",47,94.74,47,1,70006612,64.0,70002820,6.586,CL CC 8210 1220X1100 NE,-1,-1,0
7,385201559,50.0,20,3823001115.0,60,45,CNMVSMEB,Total,0.0,2304,0.0,"RL CC 8210/000 1220X5,8-15,25M 01",48,94.74,60,1,70004316,64.0,70006612,64.0,"RL CC 8210/000 1220X5,8-15,25M NE",-1,-1,0
8,385201577,40.0,20,3823001115.0,60,45,CNMVSMRL,Total,0.0,2304,0.0,"RL CC 8244/PAK 1220X5,8-30,5M NE",47,13.620000000000001,47,1,70006896,4.0,70002818,0.808,CL CC 8244 1220X1100 NE,-1,-1,0
9,385201558,40.0,20,3823001115.0,60,45,CNMVSMEB,Total,0.0,2304,0.0,"RL CC 8244/PAK 1220X5,8-30,5M 00",47,13.620000000000001,60,1,70004308,4.0,70006896,4.0,"RL CC 8244/PAK 1220X5,8-30,5M NE",-1,-1,0
10,385201574,30.0,20,3823001115.0,60,45,CNMLAMPL,Total,807.992,2304,0.0,"PL CC 8403/000 915X610X12,5 NE",47,2215.38,47,1,70005776,12000.0,70012040,807.992,BL CC 8403/ORT 915X610X200 NE,-1,-1,0
