,of,item,ov,semana,semana precedencia,numero de ofs
0,385612471,90.0,3823001401.0,11,11,1
1,385613109,90.0,3823001401.0,11,2,1
2,385612464,80.0,3823001401.0,11,11,1
3,385612627,80.0,3823001401.0,11,2,1
4,385612628,70.0,3823001401.0,11,2,1
5,385612461,70.0,3823001401.0,11,11,1
6,385612629,60.0,3823001401.0,11,11,1
7,385612460,60.0,3823001401.0,11,11,1
8,385613404,60.0,3823001401.0,11,2,1
9,385612630,50.0,3823001401.0,11,2,1
10,385612454,50.0,3823001401.0,11,11,1
11,385612625,40.0,3823001401.0,11,2,1
12,385612453,40.0,3823001401.0,11,11,1
13,385612626,30.0,3823001401.0,11,2,1
14,385612452,30.0,3823001401.0,11,11,1
15,385612451,20.0,3823001401.0,11,11,1
16,385612706,20.0,3823001401.0,11,2,1
17,385612450,10.0,3823001401.0,11,11,1
18,385612534,10.0,3823001401.0,11,2,1
19,385612463,20.0,3823001399.0,7,7,1
20,385612551,20.0,3823001399.0,7,2,1
21,385612603,10.0,3823001399.0,7,2,1
22,385612462,10.0,3823001399.0,7,7,1
23,385612498,30.0,3823001397.0,15,15,1
24,385612655,30.0,3823001397.0,15,2,1
25,385615197,30.0,3820017820.0,8,8,1
26,385612389,30.0,3820017820.0,8,8,1
27,385615237,30.0,3820017820.0,8,8,1
28,385615315,30.0,3820017820.0,8,8,1
29,385615499,30.0,3820017820.0,8,2,1
30,385615409,30.0,3820017820.0,8,8,1
31,385615405,30.0,3820017820.0,8,8,1
32,385615484,30.0,3820017820.0,8,2,1
33,385615196,20.0,3820017820.0,8,8,1
34,385612388,20.0,3820017820.0,8,8,1
35,385615236,20.0,3820017820.0,8,8,1
36,385615314,20.0,3820017820.0,8,8,1
37,385615498,20.0,3820017820.0,8,2,1
38,385615408,20.0,3820017820.0,8,8,1
39,385615404,20.0,3820017820.0,8,8,1
40,385615483,20.0,3820017820.0,8,2,1
41,385615194,10.0,3820017820.0,8,4,1
42,385615316,10.0,3820017820.0,6,3,1
43,385612386,10.0,3820017820.0,8,8,1
44,385615238,10.0,3820017820.0,4,6,5
45,385615497,10.0,3820017820.0,3,2,1
46,385615407,10.0,3820017820.0,4,3,1
47,385615403,10.0,3820017820.0,3,3,1
48,385615482,10.0,3820017820.0,3,2,1
49,385615122,40.0,3820017819.0,3,2,1
50,385612382,40.0,3820017819.0,3,3,1
51,385615123,30.0,3820017819.0,3,2,1
52,385612383,30.0,3820017819.0,3,3,1
53,385615121,20.0,3820017819.0,3,2,1
54,385612381,20.0,3820017819.0,3,3,1
55,385615125,10.0,3820017819.0,3,2,1
56,385612385,10.0,3820017819.0,3,3,1
57,385612380,10.0,3820017818.0,3,2,1
58,385612395,60.0,3820017810.0,3,2,1
59,385612366,60.0,3820017810.0,3,3,1
60,385612406,50.0,3820017810.0,3,2,1
61,385612403,40.0,3820017810.0,3,2,1
62,385612398,30.0,3820017810.0,3,2,1
63,385612368,30.0,3820017810.0,3,3,1
64,385612397,20.0,3820017810.0,3,2,1
65,385612365,20.0,3820017810.0,3,3,1
66,385612396,10.0,3820017810.0,3,2,1
67,385612367,10.0,3820017810.0,3,3,1
68,385612408,10.0,3820017809.0,6,2,1
69,385612371,10.0,3820017809.0,6,6,1
70,385612657,10.0,3820017795.0,6,2,1
71,385612504,10.0,3820017795.0,6,6,1
72,385612636,30.0,3820017794.0,19,2,1
73,385612456,50.0,3820017793.0,6,2,1
74,385612449,40.0,3820017793.0,6,2,1
75,385612455,30.0,3820017793.0,6,2,1
76,385612639,20.0,3820017793.0,6,2,1
77,385606912,20.0,3820017793.0,6,6,1
78,385612467,10.0,3820017793.0,6,6,1
