,area,centro de trabalho,acabamento,semana,capacidade,ocupacao inicial
0,CNM,CNMLAMRL,Total,48,13305.6,8903.7
1,CNM,CNMLAMRL,Total,49,16632.0,16515.36
2,CNM,CNMLAMRL,Total,50,16632.0,16632.0
3,CNM,CNMLAMRL,Total,51,6652.8,6652.8
4,CNM,CNMLAMRL,Total,52,13305.6,10631.088000000002
5,CNM,CNMLAMRL,Total,53,16632.0,10711.080000000002
6,CNM,CNMLAMRL,Total,54,16632.0,13623.18
7,CNM,CNMLAMRL,Total,55,16632.0,13882.02
8,CNM,CNMLAMRL,Total,56,16632.0,15560.28
9,CNM,CNMLAMRL,Total,57,16632.0,11095.740000000002
10,CNM,CNMLAMRL,Total,58,16632.0,13882.02
11,CNM,CNMLAMRL,Total,59,16632.0,13154.1
12,CNM,CNMLAMRL,Total,60,9979.2,9979.2
13,CNM,CNMLAMRL,Total,61,16632.0,12230.100000000002
14,CNM,CNMLAMRL,Total,62,16632.0,16632.0
15,CNM,CNMLAMRL,Total,63,16632.0,14545.26
16,CNM,CNMLAMRL,Total,64,16632.0,16632.0
17,CNM,CNMLAMRL,Total,65,16632.0,14023.575
18,CNM,CNMLAMRL,Total,66,13305.6,13305.6
19,CNM,CNMLAMRL,Total,67,16632.0,16632.0
20,CNM,CNMLAMRL,Total,68,13305.6,11669.184000000001
21,CNM,CNMLAMRL,Total,69,16632.0,16632.0
22,CNM,CNMLAMRL,Total,70,16632.0,16632.0
23,CNM,CNMLAMRL,Total,71,16632.0,16632.0
24,CNM,CNMLAMRL,Total,72,16632.0,16632.0
25,CNM,CNMLAMRL,Total,73,16632.0,16632.0
26,CNM,CNMLAMRL,Total,74,13305.6,13305.6
27,CNM,CNMLAMRL,Total,75,9979.2,9979.2
28,CNM,CNMLAMRL,Total,76,16632.0,16632.0
29,CNM,CNMLAMRL,Total,77,16632.0,16632.0
30,CNM,CNMLAMRL,Total,78,16632.0,16632.0
31,CNM,CNMLAMRL,Total,79,16632.0,16632.0
32,CNM,CNMLAMRL,Total,80,16632.0,16632.0
33,CNM,CNMLAMRL,Total,81,16632.0,16632.0
34,CNM,CNMLAMRL,Total,82,16632.0,16632.0
35,CNM,CNMLAMRL,Total,83,16632.0,16632.0
36,CNM,CNMLAMRL,Total,84,0.0,0.0
37,CNM,CNMLAMRL,Total,85,0.0,0.0
38,CNM,CNMLAMRL,Total,86,16632.0,16632.0
39,CNM,CNMLAMRL,Total,87,16632.0,16632.0
40,CNM,CNMLAMRL,Total,88,16632.0,16632.0
41,CNM,CNMLAMRL,Total,89,16632.0,16632.0
42,CNM,CNMLAMRL,Total,90,16632.0,16632.0
43,CNM,CNMLAMRL,Total,91,13305.6,13305.6
44,CNM,CNMLAMRL,Total,92,16632.0,16632.0
45,CNM,CNMLAMRL,Total,93,16632.0,16632.0
46,CNM,CNMLAMRL,Total,94,16632.0,16632.0
47,CNM,CNMLAMRL,Total,95,13305.6,13305.6
48,CNM,CNMLAMRL,Total,96,16632.0,16632.0
49,CNM,CNMLAMRL,Total,97,16632.0,16632.0
50,CNM,CNMLAMRL,Total,98,16632.0,16632.0
51,CNM,CNMLAMRL,Total,99,13305.6,13305.6
52,CNM,CNMLAMRL,Total,100,13305.6,13305.6
53,CNM,CNMLAMRL,Total,101,16632.0,16632.0
54,CNM,CNMLAMRL,Total,102,16632.0,16632.0
55,CNM,CNMLAMRL,Total,103,6652.8,6652.8
56,CNM,CNMVSMRL,Total,48,3225.5999999999995,3123.6599999999994
57,CNM,CNMVSMRL,Total,49,4032.0,4032.0
58,CNM,CNMVSMRL,Total,50,4032.0,4032.0
59,CNM,CNMVSMRL,Total,51,1612.7999999999997,1612.7999999999997
60,CNM,CNMVSMRL,Total,52,3225.5999999999995,3225.5999999999995
61,CNM,CNMVSMRL,Total,53,4032.0,4032.0
62,CNM,CNMVSMRL,Total,54,4032.0,4032.0
63,CNM,CNMVSMRL,Total,55,4032.0,4032.0
64,CNM,CNMVSMRL,Total,56,4032.0,4032.0
65,CNM,CNMVSMRL,Total,57,4032.0,4032.0
66,CNM,CNMVSMRL,Total,58,4032.0,4032.0
67,CNM,CNMVSMRL,Total,59,4032.0,4032.0
68,CNM,CNMVSMRL,Total,60,2419.2,2419.2
69,CNM,CNMVSMRL,Total,61,4032.0,4032.0
70,CNM,CNMVSMRL,Total,62,4032.0,4032.0
71,CNM,CNMVSMRL,Total,63,4032.0,4032.0
72,CNM,CNMVSMRL,Total,64,4032.0,4032.0
73,CNM,CNMVSMRL,Total,65,4032.0,4032.0
74,CNM,CNMVSMRL,Total,66,3225.5999999999995,3225.5999999999995
75,CNM,CNMVSMRL,Total,67,4032.0,4032.0
76,CNM,CNMVSMRL,Total,68,3225.5999999999995,3225.5999999999995
77,CNM,CNMVSMRL,Total,69,4032.0,4032.0
78,CNM,CNMVSMRL,Total,70,4032.0,4032.0
79,CNM,CNMVSMRL,Total,71,4032.0,4032.0
80,CNM,CNMVSMRL,Total,72,4032.0,4032.0
81,CNM,CNMVSMRL,Total,73,4032.0,4032.0
82,CNM,CNMVSMRL,Total,74,3225.5999999999995,3225.5999999999995
83,CNM,CNMVSMRL,Total,75,2419.2,2419.2
84,CNM,CNMVSMRL,Total,76,4032.0,4032.0
85,CNM,CNMVSMRL,Total,77,4032.0,4032.0
86,CNM,CNMVSMRL,Total,78,4032.0,4032.0
87,CNM,CNMVSMRL,Total,79,4032.0,4032.0
88,CNM,CNMVSMRL,Total,80,4032.0,4032.0
89,CNM,CNMVSMRL,Total,81,4032.0,4032.0
90,CNM,CNMVSMRL,Total,82,4032.0,4032.0
91,CNM,CNMVSMRL,Total,83,4032.0,4032.0
92,CNM,CNMVSMRL,Total,84,0.0,0.0
93,CNM,CNMVSMRL,Total,85,0.0,0.0
94,CNM,CNMVSMRL,Total,86,4032.0,4032.0
95,CNM,CNMVSMRL,Total,87,4032.0,4032.0
96,CNM,CNMVSMRL,Total,88,4032.0,4032.0
97,CNM,CNMVSMRL,Total,89,4032.0,4032.0
98,CNM,CNMVSMRL,Total,90,4032.0,4032.0
99,CNM,CNMVSMRL,Total,91,3225.5999999999995,3225.5999999999995
100,CNM,CNMVSMRL,Total,92,4032.0,4032.0
101,CNM,CNMVSMRL,Total,93,4032.0,4032.0
102,CNM,CNMVSMRL,Total,94,4032.0,4032.0
103,CNM,CNMVSMRL,Total,95,3225.5999999999995,3225.5999999999995
104,CNM,CNMVSMRL,Total,96,4032.0,4032.0
105,CNM,CNMVSMRL,Total,97,4032.0,4032.0
106,CNM,CNMVSMRL,Total,98,4032.0,4032.0
