,ov,semana de entrega,minimizacao_wip,alerta duracao < 60,alerta cliente,key,carga completa,id_ov
0,3820016483.0,68,1.0,1,"PROLEC GE INTERNACIONAL, S DE RL DE CV",3820016483 - 51,0.0,5
1,3820016455.0,59,1.0,0,S.C. INDUSTRIAL TRADING S.R.L.,3820016455 - 50,1.0,2
2,3820016491.0,50,1.0,1,AMOSEALTEX CORK COMPANY LIMITED,3820016491 - 48,1.0,7
3,3823001113.0,48,1.0,0,"AMORIM CORK COMPOSITES, INC",3823001113 - 48,1.0,18
4,3823001114.0,59,0.875,0,"AMORIM CORK COMPOSITES, INC",3823001114 - 48,1.0,19
5,3823000934.0,49,1.0,0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",3823000934 - 48,1.0,13
6,3823000949.0,48,1.0,0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",3823000949 - 48,1.0,15
7,3820016475.0,47,1.0,1,H.J. VAN DRUNEN B.V.,3820016475 - 47,0.0,3
8,3820016489.0,68,1.0,0,"ILJIN ELECTRIC CO., LTD",3820016489 - 47,1.0,6
9,3820016492.0,49,1.0,1,ZENTRALVERBAND EUROPAISCHER,3820016492 - 47,1.0,8
10,3823000917.0,49,1.0,1,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",3823000917 - 46,1.0,10
11,3823000925.0,49,1.0,0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",3823000925 - 46,1.0,11
12,3823000928.0,49,1.0,0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",3823000928 - 46,1.0,12
13,3823000941.0,47,1.0,1,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",3823000941 - 46,1.0,14
14,3823000950.0,47,1.0,0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",3823000950 - 46,1.0,16
15,3820016454.0,48,1.0,1,EUROPEA DE VENTAS SA,3820016454 - 45,1.0,1
16,3820016479.0,53,0.6666666666666666,0,TOSHIBA TRANSMISSION & DISTRIBUTION,3820016479 - 45,1.0,4
17,3820016509.0,59,1.0,0,AMORIM FLOORING SWEDEN AB,3820016509 - 45,1.0,9
18,3823001109.0,47,1.0,0,"CORKSRIBAS - IND. GRAN. DE CORTIÇA, LDA",3823001109 - 45,1.0,17
19,3823001115.0,60,0.875,0,"AMORIM CORK COMPOSITES, INC",3823001115 - 45,1.0,20
20,3820016242.0,52,1.0,1,EYNARD ROBIN PROVENCE,3820016242 - 45,1.0,0
