,id_ov,area
0,5,CRM
1,2,CRM
2,7,CRM
3,18,CRM
4,18,CRM
5,18,CRM
6,18,CRM
7,18,CRM
8,18,CRM
9,18,CRM
10,18,CRM
11,18,CRM
12,18,CRM
13,18,CRM
14,18,CRM
15,18,CRM
16,18,CRM
17,18,CRM
18,18,CRM
19,18,CRM
20,18,CRM
21,18,CRM
22,19,CCS
23,19,CCS
24,19,CRM
25,19,CCS
26,19,CRM
27,13,CNM
28,15,CNM
29,15,CNM
30,15,CNM
31,3,CCS
32,3,CCS
33,3,CCS
34,3,CCS
35,6,CRM
36,6,CRM
37,8,CNM
38,8,CNM
39,8,CNM
40,8,CNM
41,8,CNM
42,10,CNM
43,10,CNM
44,10,CNM
45,10,CNM
46,11,CNM
47,12,CNM
48,14,CNM
49,16,CNM
50,1,CCS
51,4,CCS
52,4,CCS
53,4,CCS
54,17,CCS
55,20,CNM
56,20,CNM
57,20,CRM
58,20,CNM
59,20,CRM
60,20,CNM
61,20,CRM
62,20,CNM
63,20,CRM
64,20,CNM
65,20,CRM
66,20,CNM
67,20,CRM
68,20,CCS
69,20,CNM
70,20,CRM
71,0,CRM
72,0,CRM
