,centro de trabalho,acabamento,semana,carga ocupada
0,CNMLAMRL,Total,48,0.0
1,CNMLAMRL,Total,49,4401.9
2,CNMLAMRL,Total,50,116.63999999999942
3,CNMLAMRL,Total,51,0.0
4,CNMLAMRL,Total,52,0.0
5,CNMLAMRL,Total,53,2674.511999999999
6,CNMLAMRL,Total,54,5920.919999999998
7,CNMLAMRL,Total,55,3008.8199999999997
8,CNMLAMRL,Total,56,2749.9799999999996
9,CNMLAMRL,Total,57,1071.7199999999993
10,CNMLAMRL,Total,58,5536.259999999998
11,CNMLAMRL,Total,59,2749.9799999999996
12,CNMLAMRL,Total,60,3477.8999999999996
13,CNMLAMRL,Total,61,0.0
14,CNMLAMRL,Total,62,4401.899999999998
15,CNMLAMRL,Total,63,0.0
16,CNMLAMRL,Total,64,2086.74
17,CNMLAMRL,Total,65,0.0
18,CNMLAMRL,Total,66,2608.4249999999993
19,CNMLAMRL,Total,67,0.0
20,CNMLAMRL,Total,68,0.0
21,CNMLAMRL,Total,69,1636.4159999999993
22,CNMLAMRL,Total,70,0.0
23,CNMLAMRL,Total,71,0.0
24,CNMLAMRL,Total,72,0.0
25,CNMLAMRL,Total,73,0.0
26,CNMLAMRL,Total,74,0.0
27,CNMLAMRL,Total,75,0.0
28,CNMLAMRL,Total,76,0.0
29,CNMLAMRL,Total,77,0.0
30,CNMLAMRL,Total,78,0.0
31,CNMLAMRL,Total,79,0.0
32,CNMLAMRL,Total,80,0.0
33,CNMLAMRL,Total,81,0.0
34,CNMLAMRL,Total,82,0.0
35,CNMLAMRL,Total,83,0.0
36,CNMLAMRL,Total,84,0.0
37,CNMLAMRL,Total,85,0.0
38,CNMLAMRL,Total,86,0.0
39,CNMLAMRL,Total,87,0.0
40,CNMLAMRL,Total,88,0.0
41,CNMLAMRL,Total,89,0.0
42,CNMLAMRL,Total,90,0.0
43,CNMLAMRL,Total,91,0.0
44,CNMLAMRL,Total,92,0.0
45,CNMLAMRL,Total,93,0.0
46,CNMLAMRL,Total,94,0.0
47,CNMLAMRL,Total,95,0.0
48,CNMLAMRL,Total,96,0.0
49,CNMLAMRL,Total,97,0.0
50,CNMLAMRL,Total,98,0.0
51,CNMLAMRL,Total,99,0.0
52,CNMLAMRL,Total,100,0.0
53,CNMLAMRL,Total,101,0.0
54,CNMLAMRL,Total,102,0.0
55,CNMLAMRL,Total,103,0.0
56,CNMLAMRL,Total,104,0.0
57,CNMVSMRL,Total,48,53.159999999999854
58,CNMVSMRL,Total,49,101.94000000000005
59,CNMVSMRL,Total,50,0.0
60,CNMVSMRL,Total,51,0.0
61,CNMVSMRL,Total,52,0.0
62,CNMVSMRL,Total,53,0.0
63,CNMVSMRL,Total,54,0.0
64,CNMVSMRL,Total,55,0.0
65,CNMVSMRL,Total,56,0.0
66,CNMVSMRL,Total,57,0.0
67,CNMVSMRL,Total,58,0.0
68,CNMVSMRL,Total,59,0.0
69,CNMVSMRL,Total,60,0.0
70,CNMVSMRL,Total,61,0.0
71,CNMVSMRL,Total,62,0.0
72,CNMVSMRL,Total,63,0.0
73,CNMVSMRL,Total,64,0.0
74,CNMVSMRL,Total,65,0.0
75,CNMVSMRL,Total,66,0.0
76,CNMVSMRL,Total,67,0.0
77,CNMVSMRL,Total,68,0.0
78,CNMVSMRL,Total,69,0.0
79,CNMVSMRL,Total,70,0.0
80,CNMVSMRL,Total,71,0.0
81,CNMVSMRL,Total,72,0.0
82,CNMVSMRL,Total,73,0.0
83,CNMVSMRL,Total,74,0.0
84,CNMVSMRL,Total,75,0.0
85,CNMVSMRL,Total,76,0.0
86,CNMVSMRL,Total,77,0.0
87,CNMVSMRL,Total,78,0.0
88,CNMVSMRL,Total,79,0.0
89,CNMVSMRL,Total,80,0.0
90,CNMVSMRL,Total,81,0.0
91,CNMVSMRL,Total,82,0.0
92,CNMVSMRL,Total,83,0.0
93,CNMVSMRL,Total,84,0.0
94,CNMVSMRL,Total,85,0.0
95,CNMVSMRL,Total,86,0.0
96,CNMVSMRL,Total,87,0.0
97,CNMVSMRL,Total,88,0.0
98,CNMVSMRL,Total,89,0.0
99,CNMVSMRL,Total,90,0.0
100,CNMVSMRL,Total,91,0.0
101,CNMVSMRL,Total,92,0.0
102,CNMVSMRL,Total,93,0.0
103,CNMVSMRL,Total,94,0.0
104,CNMVSMRL,Total,95,0.0
105,CNMVSMRL,Total,96,0.0
106,CNMVSMRL,Total,97,0.0
107,CNMVSMRL,Total,98,0.0
108,CNMVSMRL,Total,99,0.0
109,CNMVSMRL,Total,100,0.0
110,CNMVSMRL,Total,101,0.0
111,CNMVSMRL,Total,102,0.0
112,CNMVSMRL,Total,103,0.0
113,CNMVSMRL,Total,104,0.0
114,CNMVSMEB,Total,48,53.159999999999854
115,CNMVSMEB,Total,49,101.94000000000005
116,CNMVSMEB,Total,50,0.0
117,CNMVSMEB,Total,51,0.0
118,CNMVSMEB,Total,52,0.0
119,CNMVSMEB,Total,53,0.0
120,CNMVSMEB,Total,54,0.0
121,CNMVSMEB,Total,55,0.0
122,CNMVSMEB,Total,56,0.0
123,CNMVSMEB,Total,57,0.0
124,CNMVSMEB,Total,58,0.0
125,CNMVSMEB,Total,59,0.0
126,CNMVSMEB,Total,60,0.0
127,CNMVSMEB,Total,61,0.0
128,CNMVSMEB,Total,62,0.0
129,CNMVSMEB,Total,63,0.0
130,CNMVSMEB,Total,64,0.0
131,CNMVSMEB,Total,65,0.0
132,CNMVSMEB,Total,66,0.0
