,Ordem Venda / Transferência,data_substituir,semana
0,3820000029.0,2021-11-20,46
1,3820001353.0,2021-11-19,46
2,3820002904.0,2021-11-27,47
3,3820003933.0,2021-12-29,52
4,3820004731.0,2021-11-26,47
5,3820005155.0,2021-11-27,47
6,3820005228.0,2021-11-27,47
7,3820006088.0,2021-12-31,52
8,3820006601.0,2021-11-26,47
9,3820006817.0,2021-12-29,52
10,3820006830.0,2021-12-03,48
11,3820006831.0,2021-11-20,46
12,3820006878.0,2021-11-26,47
13,3820007110.0,2021-12-18,50
14,3820007163.0,2021-12-11,49
15,3820007537.0,2021-11-19,46
16,3820007783.0,2021-11-27,47
17,3820007784.0,2021-12-25,51
18,3820008073.0,2021-11-12,45
19,3820008147.0,2021-10-29,43
20,3820009057.0,2021-10-18,42
21,3820009060.0,2021-12-10,49
22,3820009061.0,2021-12-09,49
23,3820009062.0,2021-12-09,49
24,3820009713.0,2021-11-19,46
25,3820009871.0,2021-11-05,44
26,3820009873.0,2021-11-19,46
27,3820009881.0,2021-12-17,50
28,3820010012.0,2021-11-05,44
29,3820010015.0,2021-12-17,50
30,3820010108.0,2021-12-03,48
31,3820010138.0,2021-11-11,45
32,3820010234.0,2021-11-26,47
33,3820010602.0,2021-11-19,46
34,3820010619.0,2021-11-25,47
35,3820010620.0,2021-12-31,52
36,3820010721.0,2021-12-31,52
37,3820010910.0,2021-12-03,48
38,3820011021.0,2021-10-29,43
39,3820011097.0,2021-11-19,46
40,3820011163.0,2021-11-27,47
41,3820011199.0,2021-11-20,46
42,3820011272.0,2021-12-03,48
43,3820011350.0,2021-11-27,47
44,3820011387.0,2021-11-18,46
45,3820011393.0,2021-12-18,50
46,3820011500.0,2021-12-24,51
47,3820011502.0,2021-11-26,47
48,3820011545.0,2021-12-24,51
49,3820011571.0,2021-11-26,47
50,3820011742.0,2021-11-26,47
51,3820011743.0,2021-12-10,49
52,3820011744.0,2021-11-20,46
53,3820011745.0,2021-11-20,46
54,3820011876.0,2021-11-26,47
55,3820012131.0,2021-11-19,46
56,3820012159.0,2021-10-30,43
57,3820012281.0,2021-11-25,47
58,3820012349.0,2021-11-26,47
59,3820012455.0,2021-11-19,46
60,3820012456.0,2021-12-17,50
61,3820012469.0,2021-12-08,49
62,3820012563.0,2021-10-30,43
63,3820012566.0,2021-11-20,46
64,3820012633.0,2021-11-20,46
65,3820012634.0,2021-12-17,50
66,3820012685.0,2021-11-20,46
67,3820012699.0,2021-11-17,46
68,3820012710.0,2021-12-04,48
69,3820012716.0,2021-10-30,43
70,3820012755.0,2021-11-26,47
71,3820012803.0,2021-10-19,42
72,3820012921.0,2021-11-19,46
73,3820012923.0,2021-12-23,51
74,3820012963.0,2021-10-23,42
75,3820012975.0,2021-12-18,50
76,3820013022.0,2021-11-26,47
77,3820013024.0,2021-12-03,48
78,3820013025.0,2021-11-19,46
79,3820013026.0,2021-11-19,46
80,3820013027.0,2021-12-03,48
81,3820013028.0,2021-11-26,47
82,3820013029.0,2021-12-03,48
83,3820013030.0,2021-12-10,49
84,3820013031.0,2021-12-10,49
85,3820013072.0,2021-12-03,48
86,3820013165.0,2021-11-26,47
87,3820013221.0,2021-10-27,43
88,3820013228.0,2021-12-17,50
89,3820013234.0,2021-11-20,46
90,3820013235.0,2021-12-11,49
91,3820013265.0,2021-12-17,50
92,3820013310.0,2021-10-16,41
93,3820013318.0,2021-12-18,50
94,3820013344.0,2021-11-26,47
95,3820013350.0,2021-10-08,40
96,3820013400.0,2021-10-08,40
97,3820013403.0,2021-11-20,46
98,3820013447.0,2021-10-19,42
99,3820013450.0,2021-12-24,51
100,3820013533.0,2021-10-22,42
101,3820013678.0,2021-12-10,49
102,3820013692.0,2021-11-13,45
103,3820013702.0,2021-10-30,43
104,3820013726.0,2021-10-01,39
105,3820013758.0,2021-11-05,44
106,3820013788.0,2021-11-26,47
107,3820013791.0,2021-11-05,44
108,3820013795.0,2021-10-23,42
