,Centro de Trabalho,Acabamento,semana,capacidade
0,CNMLAMRL,Total,48,16632.0
1,CNMLAMRL,Total,49,16632.0
2,CNMLAMRL,Total,50,13305.6
3,CNMLAMRL,Total,51,13305.6
4,CNMLAMRL,Total,52,16632.0
5,CNMLAMRL,Total,53,16632.0
6,CNMLAMRL,Total,54,6652.8
7,CNMLAMRL,Total,55,13305.6
8,CNMLAMRL,Total,56,16632.0
9,CNMLAMRL,Total,57,16632.0
10,CNMLAMRL,Total,58,16632.0
11,CNMLAMRL,Total,59,16632.0
12,CNMLAMRL,Total,60,16632.0
13,CNMLAMRL,Total,61,16632.0
14,CNMLAMRL,Total,62,16632.0
15,CNMLAMRL,Total,63,9979.2
16,CNMLAMRL,Total,64,16632.0
17,CNMLAMRL,Total,65,16632.0
18,CNMLAMRL,Total,66,16632.0
19,CNMLAMRL,Total,67,16632.0
20,CNMLAMRL,Total,68,16632.0
21,CNMLAMRL,Total,69,13305.6
22,CNMLAMRL,Total,70,16632.0
23,CNMLAMRL,Total,71,13305.6
24,CNMLAMRL,Total,72,16632.0
25,CNMLAMRL,Total,73,16632.0
26,CNMLAMRL,Total,74,16632.0
27,CNMLAMRL,Total,75,16632.0
28,CNMLAMRL,Total,76,16632.0
29,CNMLAMRL,Total,77,13305.6
30,CNMLAMRL,Total,78,9979.2
31,CNMLAMRL,Total,79,16632.0
32,CNMLAMRL,Total,80,16632.0
33,CNMLAMRL,Total,81,16632.0
34,CNMLAMRL,Total,82,16632.0
35,CNMLAMRL,Total,83,16632.0
36,CNMLAMRL,Total,84,16632.0
37,CNMLAMRL,Total,85,16632.0
38,CNMLAMRL,Total,86,16632.0
39,CNMLAMRL,Total,87,0.0
40,CNMLAMRL,Total,88,0.0
41,CNMLAMRL,Total,89,16632.0
42,CNMLAMRL,Total,90,16632.0
43,CNMLAMRL,Total,91,16632.0
44,CNMLAMRL,Total,92,16632.0
45,CNMLAMRL,Total,93,16632.0
46,CNMLAMRL,Total,94,13305.6
47,CNMLAMRL,Total,95,16632.0
48,CNMLAMRL,Total,96,16632.0
49,CNMLAMRL,Total,97,16632.0
50,CNMLAMRL,Total,98,13305.6
51,CNMLAMRL,Total,99,16632.0
52,CNMLAMRL,Total,100,16632.0
53,CNMLAMRL,Total,101,16632.0
54,CNMLAMRL,Total,102,13305.6
55,CNMLAMRL,Total,103,13305.6
56,CNMLAMRL,Total,104,16632.0
57,CNMLAMRL,Total,105,16632.0
58,CNMLAMRL,Total,106,6652.8
59,CNMVSMRL,Total,48,4032.0
60,CNMVSMRL,Total,49,4032.0
61,CNMVSMRL,Total,50,3225.5999999999995
62,CNMVSMRL,Total,51,3225.5999999999995
63,CNMVSMRL,Total,52,4032.0
64,CNMVSMRL,Total,53,4032.0
65,CNMVSMRL,Total,54,1612.7999999999997
66,CNMVSMRL,Total,55,3225.5999999999995
67,CNMVSMRL,Total,56,4032.0
68,CNMVSMRL,Total,57,4032.0
69,CNMVSMRL,Total,58,4032.0
70,CNMVSMRL,Total,59,4032.0
71,CNMVSMRL,Total,60,4032.0
72,CNMVSMRL,Total,61,4032.0
73,CNMVSMRL,Total,62,4032.0
74,CNMVSMRL,Total,63,2419.2
