,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima,duração,semana precedencia,número de semanas
0,1600031589,60.0,0,3826000005.0,28,28,CRMRLMEI,Qualquer,0.0,-1,0.0,RL CI 5700/2TI 1000X20/10-10M PA,28,1714.26,28,1
1,1600031588,50.0,1,3826000005.0,30,29,CRMRLMEI,Qualquer,0.0,-1,0.0,RL CI 5700/2TI 1000X20/10-10M PA,30,3085.7400000000002,28,1
2,1600031587,40.0,2,3826000005.0,40,38,CRMRLMEI,Qualquer,0.0,-1,0.0,RL CI 5700/2TI 1000X20/10-10M PA,40,3085.7400000000002,28,1
3,1600031586,30.0,3,3826000005.0,36,36,CRMRLMEI,Qualquer,0.0,-1,0.0,RL CI 5700/2TI 1000X20/10-10M PA,36,3085.7400000000002,28,1
4,1600031584,20.0,3,3826000005.0,36,36,CRMRLMEI,Qualquer,0.0,-1,0.0,RL CI 5700/2TI 1000X20/10-10M PA,36,3085.7400000000002,28,1
5,1600031585,10.0,4,3826000005.0,35,35,CRMRLMEI,Qualquer,0.0,-1,0.0,RL CI 5700/2TI 1000X20/10-10M PA,35,3085.7400000000002,28,1
6,1600075883,30.0,5,3826000001.0,28,28,CCSEBMTR,Qualquer,0.0,2304,0.0,ES CC  SENTA W00 CA MATERIA,28,24.0,28,1
7,1600079409,110.0,6,3823000578.0,30,30,CRMLAMRL,Qualquer,0.0,-1,0.0,"RL CI 5404/000 1220X10,0 NE",30,401.46,28,1
8,1600079408,110.0,6,3823000578.0,30,30,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CI 5404/PAK 1220X10,0-4,6M 00",30,319.56,30,1
9,1600079407,100.0,6,3823000578.0,30,30,CRMLAMRL,Qualquer,0.0,-1,0.0,"RL CI 5404/000 1220X5,0 NE",30,438.12,28,1
10,1600079406,100.0,6,3823000578.0,30,30,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CI 5404/PAK 1220X5,0-9,2M 00",30,666.6600000000001,30,1
11,1600079404,90.0,7,3823000578.0,29,29,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CI 5351/000 1220X1,2-23M 00",29,187.5,29,1
