,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima
0,383573140,40.0,0,3820011703.0,22,22,CRMLAMPL,Qualquer,2.747,-1,0.0,"PL CR 1049/000 1000X1000X16,0 NE",0
1,383572795,40.0,0,3820011703.0,22,22,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 1049/000 1000X1000X16,0 01",0
2,383573139,30.0,0,3820011703.0,22,22,CRMLAMPL,Qualquer,2.472,-1,0.0,"PL CR 1049/000 1000X1000X14,0 NE",0
3,383572794,30.0,0,3820011703.0,22,22,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 1049/000 1000X1000X14,0 01",0
4,383572793,20.0,0,3820011703.0,22,22,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 1049/000 1000X1000X12,0 02",0
5,383573099,20.0,0,3820011703.0,22,22,CRMLAMPL,Qualquer,1.501,-1,0.0,"PL CR 1049/000 1000X1000X12,0 NE",0
6,383572792,10.0,0,3820011703.0,22,22,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 1521/000 1000X1000X20,0 01",0
7,383572979,10.0,0,3820011703.0,22,22,CRMLAMPL,Qualquer,1.797,-1,0.0,"PL CR 1521/000 1000X1000X20,0 NE",0
8,383572797,10.0,1,3820011701.0,22,22,CNMVSMEB,Qualquer,0.0,-1,0.0,"RL CC 8244/PAK 1000X3,0-10M LA",0
9,383572978,10.0,1,3820011701.0,22,22,CNMVSMRL,Qualquer,0.0,-1,0.0,"RL CC 8244/PAK 1000X3,0-10M NE",0
10,383572786,10.0,2,3820011692.0,28,29,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CC 8002/000  915X610X12,5 02",6
11,383572877,10.0,2,3820011692.0,28,29,CNMLAMPL,Qualquer,29.376,-1,0.0,"PL CC 8002/000 915X610X12,5 NE",6
12,383572788,10.0,3,3820011673.0,22,21,CRMEMBPL,Qualquer,0.0,-1,0.0,"PL CR 6400/S21 1250X250X40,0 00",0
13,383573133,10.0,3,3820011673.0,22,21,CRMSERRA,Qualquer,0.0,-1,0.0,"PL CR 6400/S21 1250X250X40,0 NE",0
14,383573554,10.0,3,3820011673.0,22,21,CRMLIXPL,Qualquer,0.0,-1,0.0,"PL CR 6400/S21 1270X500X40,0 NE",0
15,383573811,10.0,3,3820011673.0,22,21,CRMSERRA,Qualquer,1.737,-1,0.0,"PL CR 6400/000 1270X500X42,0 NE",0
16,383572819,20.0,4,3820011661.0,22,22,CCSEBMTR,Qualquer,0.0,2304,0.0,"TV CC 8405 10KK 6,0 000 03",0
17,383573578,20.0,4,3820011661.0,22,22,CCSTRIVM,Qualquer,0.0,2304,0.0,"TV CC 8405/S21 10KK 6,0 000 NE",0
18,383573602,20.0,4,3820011661.0,22,22,CNMLAMLX,Qualquer,2.052,2304,0.0,"PL CC 8405/S21 940X640X6,0 NE",0
19,383573175,10.0,4,3820011661.0,22,22,CCSBALJT,Qualquer,0.0,2304,0.0,"TM CC 8405 68TM 2,9 000 NE",0
20,383572812,10.0,4,3820011661.0,22,22,CCSEBKDV,Qualquer,0.0,2304,0.0,"TM CC 8405 68TM 2,9 000 03",0
21,1600076812,20.0,5,3820011659.0,37,38,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CC 8405/000 1000X500X5,0 02",15
22,1600076813,20.0,5,3820011659.0,37,38,CNMLAMPL,Qualquer,111.034,-1,0.0,"PL CC 8405/000 1000X500X5,0 NE",15
23,1600076811,10.0,5,3820011659.0,37,38,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CC 8405/000 1000X500X3,0 09",15
24,1600076810,10.0,5,3820011659.0,37,38,CNMLAMPL,Qualquer,324.863,-1,0.0,"PL CC 8405/000 1000X500X3,0 NE",15
25,1600076808,20.0,6,3820011657.0,36,37,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CC 8405/000 1000X500X5,0 02",14
26,1600076809,20.0,6,3820011657.0,36,37,CNMLAMPL,Qualquer,111.034,-1,0.0,"PL CC 8405/000 1000X500X5,0 NE",14
27,1600076807,10.0,6,3820011657.0,36,37,CNMEMBPL,Qualquer,0.0,-1,0.0,"PL CC 8405/000 1000X500X3,0 09",14
