Centro trabalho,Semana,Capacidade
CNMRETBL,1,0
CNMRETBL,2,0
CNMRETBL,3,0
CNMRETBL,4,0
CNMRETBL,5,0.22
CNMRETBL,6,0.25
CNMRETBL,7,0.06
CNMRETBL,8,0.06
CNMRETBL,9,0.06
CNMRETBL,10,0
CNMRETBL,11,0
CNMRETBL,12,0
CNMRETBL,13,0
CNMRETBL,14,0.22
CNMRETBL,15,0.25
CNMRETBL,16,0.06
CNMRETBL,17,0.06
CNMRETBL,18,0.06
CNMRETBL,19,0
CNMRETBL,20,0
CNMRETBL,21,0
CNMRETBL,22,0
CNMRETBL,23,0.22
CNMRETBL,24,0.25
CNMRETBL,25,0.06
CNMRETBL,26,0.06
CNMRETBL,27,0.06
CNMRETBL,28,0
CNMRETBL,29,0
CNMRETBL,30,0
CNMRETBL,31,0
CNMRETBL,32,0.22
CNMRETBL,33,0.25
CNMRETBL,34,0.06
CNMRETBL,35,0.06
CNMRETBL,36,0.06
CNMRETBL,37,0
CNMRETBL,38,0
CNMRETBL,39,0
CNMRETBL,40,0
CNMRETBL,41,0.22
CNMRETBL,42,0.25
CNMRETBL,43,0.06
CNMRETBL,44,0.06
CNMRETBL,45,0.06
CNMRETBL,46,0
CNMRETBL,47,0
CNMRETBL,48,0
CNMRETBL,49,0
CNMRETBL,50,0
CNMRETBL,51,0
CNMRETBL,52,0
CNMSERPL,1,0
CNMSERPL,2,0
CNMSERPL,3,0
CNMSERPL,4,0
CNMSERPL,5,0.22
CNMSERPL,6,0.25
CNMSERPL,7,0.06
CNMSERPL,8,0.06
CNMSERPL,9,0.06
CNMSERPL,10,0
CNMSERPL,11,0
CNMSERPL,12,0
CNMSERPL,13,0
CNMSERPL,14,0.22
CNMSERPL,15,0.25
CNMSERPL,16,0.06
CNMSERPL,17,0.06
CNMSERPL,18,0.06
CNMSERPL,19,0
CNMSERPL,20,0
CNMSERPL,21,0
CNMSERPL,22,0
CNMSERPL,23,0.22
CNMSERPL,24,0.25
CNMSERPL,25,0.06
CNMSERPL,26,0.06
CNMSERPL,27,0.06
CNMSERPL,28,0
CNMSERPL,29,0
CNMSERPL,30,0
CNMSERPL,31,0
CNMSERPL,32,0.22
CNMSERPL,33,0.25
CNMSERPL,34,0.06
CNMSERPL,35,0.06
CNMSERPL,36,0.06
CNMSERPL,37,0
CNMSERPL,38,0
CNMSERPL,39,0
CNMSERPL,40,0
CNMSERPL,41,0.22
CNMSERPL,42,0.25
CNMSERPL,43,0.06
CNMSERPL,44,0.06
CNMSERPL,45,0.06
CNMSERPL,46,0
CNMSERPL,47,0
CNMSERPL,48,0
CNMSERPL,49,0
CNMSERPL,50,0
CNMSERPL,51,0
CNMSERPL,52,0
CNMLAMPL,1,0
CNMLAMPL,2,0
CNMLAMPL,3,0
CNMLAMPL,4,0
CNMLAMPL,5,0.22
CNMLAMPL,6,0.25
CNMLAMPL,7,0.06
CNMLAMPL,8,0.06
CNMLAMPL,9,0.06
CNMLAMPL,10,0
CNMLAMPL,11,0
CNMLAMPL,12,0
CNMLAMPL,13,0
CNMLAMPL,14,0.22
CNMLAMPL,15,0.25
CNMLAMPL,16,0.06
CNMLAMPL,17,0.06
CNMLAMPL,18,0.06
CNMLAMPL,19,0
CNMLAMPL,20,0
CNMLAMPL,21,0
CNMLAMPL,22,0
CNMLAMPL,23,0.22
CNMLAMPL,24,0.25
CNMLAMPL,25,0.06
CNMLAMPL,26,0.06
CNMLAMPL,27,0.06
CNMLAMPL,28,0
CNMLAMPL,29,0
CNMLAMPL,30,0
CNMLAMPL,31,0
CNMLAMPL,32,0.22
CNMLAMPL,33,0.25
CNMLAMPL,34,0.06
CNMLAMPL,35,0.06
CNMLAMPL,36,0.06
CNMLAMPL,37,0
CNMLAMPL,38,0
CNMLAMPL,39,0
CNMLAMPL,40,0
CNMLAMPL,41,0.22
CNMLAMPL,42,0.25
CNMLAMPL,43,0.06
CNMLAMPL,44,0.06
CNMLAMPL,45,0.06
CNMLAMPL,46,0
CNMLAMPL,47,0
CNMLAMPL,48,0
CNMLAMPL,49,0
CNMLAMPL,50,0
CNMLAMPL,51,0
CNMLAMPL,52,0
CRMLAMPL,1,0
CRMLAMPL,2,0
CRMLAMPL,3,0
CRMLAMPL,4,0
CRMLAMPL,5,0.22
CRMLAMPL,6,0.25
CRMLAMPL,7,0.06
CRMLAMPL,8,0.06
CRMLAMPL,9,0.06
CRMLAMPL,10,0
CRMLAMPL,11,0
CRMLAMPL,12,0
CRMLAMPL,13,0
CRMLAMPL,14,0.22
CRMLAMPL,15,0.25
CRMLAMPL,16,0.06
CRMLAMPL,17,0.06
CRMLAMPL,18,0.06
CRMLAMPL,19,0
CRMLAMPL,20,0
CRMLAMPL,21,0
CRMLAMPL,22,0
CRMLAMPL,23,0.22
CRMLAMPL,24,0.25
CRMLAMPL,25,0.06
CRMLAMPL,26,0.06
CRMLAMPL,27,0.06
CRMLAMPL,28,0
CRMLAMPL,29,0
CRMLAMPL,30,0
CRMLAMPL,31,0
CRMLAMPL,32,0.22
CRMLAMPL,33,0.25
CRMLAMPL,34,0.06
CRMLAMPL,35,0.06
CRMLAMPL,36,0.06
CRMLAMPL,37,0
CRMLAMPL,38,0
CRMLAMPL,39,0
CRMLAMPL,40,0
CRMLAMPL,41,0.22
CRMLAMPL,42,0.25
CRMLAMPL,43,0.06
CRMLAMPL,44,0.06
CRMLAMPL,45,0.06
CRMLAMPL,46,0
CRMLAMPL,47,0
CRMLAMPL,48,0
CRMLAMPL,49,0
CRMLAMPL,50,0
CRMLAMPL,51,0
CRMLAMPL,52,0
CNMLAMRL,1,0
CNMLAMRL,2,0
CNMLAMRL,3,0
CNMLAMRL,4,0
CNMLAMRL,5,0.22
CNMLAMRL,6,0.25
CNMLAMRL,7,0.06
CNMLAMRL,8,0.06
CNMLAMRL,9,0.06
CNMLAMRL,10,0
CNMLAMRL,11,0
CNMLAMRL,12,0
CNMLAMRL,13,0
CNMLAMRL,14,0.22
CNMLAMRL,15,0.25
CNMLAMRL,16,0.06
CNMLAMRL,17,0.06
CNMLAMRL,18,0.06
CNMLAMRL,19,0
CNMLAMRL,20,0
CNMLAMRL,21,0
CNMLAMRL,22,0
CNMLAMRL,23,0.22
CNMLAMRL,24,0.25
CNMLAMRL,25,0.06
CNMLAMRL,26,0.06
CNMLAMRL,27,0.06
CNMLAMRL,28,0
CNMLAMRL,29,0
CNMLAMRL,30,0
CNMLAMRL,31,0
CNMLAMRL,32,0.22
CNMLAMRL,33,0.25
CNMLAMRL,34,0.06
CNMLAMRL,35,0.06
CNMLAMRL,36,0.06
CNMLAMRL,37,0
CNMLAMRL,38,0
CNMLAMRL,39,0
CNMLAMRL,40,0
CNMLAMRL,41,0.22
CNMLAMRL,42,0.25
CNMLAMRL,43,0.06
CNMLAMRL,44,0.06
CNMLAMRL,45,0.06
CNMLAMRL,46,0
CNMLAMRL,47,0
CNMLAMRL,48,0
CNMLAMRL,49,0
CNMLAMRL,50,0
CNMLAMRL,51,0
CNMLAMRL,52,0
CNMVSMRL,1,0
CNMVSMRL,2,0
CNMVSMRL,3,0
CNMVSMRL,4,0
CNMVSMRL,5,0.22
CNMVSMRL,6,0.25
CNMVSMRL,7,0.06
CNMVSMRL,8,0.06
CNMVSMRL,9,0.06
CNMVSMRL,10,0
CNMVSMRL,11,0
CNMVSMRL,12,0
CNMVSMRL,13,0
CNMVSMRL,14,0.22
CNMVSMRL,15,0.25
CNMVSMRL,16,0.06
CNMVSMRL,17,0.06
CNMVSMRL,18,0.06
CNMVSMRL,19,0
CNMVSMRL,20,0
CNMVSMRL,21,0
CNMVSMRL,22,0
CNMVSMRL,23,0.22
CNMVSMRL,24,0.25
CNMVSMRL,25,0.06
CNMVSMRL,26,0.06
CNMVSMRL,27,0.06
CNMVSMRL,28,0
CNMVSMRL,29,0
CNMVSMRL,30,0
CNMVSMRL,31,0
CNMVSMRL,32,0.22
CNMVSMRL,33,0.25
CNMVSMRL,34,0.06
CNMVSMRL,35,0.06
CNMVSMRL,36,0.06
CNMVSMRL,37,0
CNMVSMRL,38,0
CNMVSMRL,39,0
CNMVSMRL,40,0
CNMVSMRL,41,0.22
CNMVSMRL,42,0.25
CNMVSMRL,43,0.06
CNMVSMRL,44,0.06
CNMVSMRL,45,0.06
CNMVSMRL,46,0
CNMVSMRL,47,0
CNMVSMRL,48,0
CNMVSMRL,49,0
CNMVSMRL,50,0
CNMVSMRL,51,0
CNMVSMRL,52,0
CRMLAMRL,1,0
CRMLAMRL,2,0
CRMLAMRL,3,0
CRMLAMRL,4,0
CRMLAMRL,5,0.22
CRMLAMRL,6,0.25
CRMLAMRL,7,0.06
CRMLAMRL,8,0.06
CRMLAMRL,9,0.06
CRMLAMRL,10,0
CRMLAMRL,11,0
CRMLAMRL,12,0
CRMLAMRL,13,0
CRMLAMRL,14,0.22
CRMLAMRL,15,0.25
CRMLAMRL,16,0.06
