,codigo material,material c,fator incorporação
0,70010114,70001382,0.015151999999999999
1,70006146,70001382,0.025
2,70001382,70001382,0.025
3,70015039,70004828,1.0
4,70010118,70004828,0.005
5,70010116,70004828,0.01
6,70010115,70004828,0.03031
7,70004828,70004828,0.03031
8,70015030,70004828,0.015380000000000001
9,70015032,70004828,0.02564
10,70015038,70004828,0.05
11,70015036,70004828,0.04
12,70011944,70004828,1.0
13,70010139,70002074,0.01
14,70010134,70002074,0.011630000000000001
15,70010138,70002074,0.01613
16,70010136,70002074,0.02
17,70010135,70002074,0.025
18,70007440,70002074,0.005
19,70006788,70002074,0.0075190000000000005
20,70007593,70002074,0.016667
21,70006659,70002074,0.015151999999999999
22,70006792,70002074,0.024390000000000002
23,70006664,70002074,0.030303
24,70002074,70002074,0.030303
25,70013754,70002074,0.01852
26,70023187,70002074,0.01755
27,70023189,70002074,0.03449
28,70005857,70003386,1.0
29,70003386,70003386,1.0
30,70013432,70003387,1.0
31,70003387,70003387,1.0
32,70013928,70003387,1.0
33,70001703,70001703,1.0
34,70012020,70001703,1.0
35,70005536,70003793,1.0
36,70003793,70003793,1.0
37,70014849,70003793,1.0
38,70012023,70003793,1.0
39,70005501,70001725,1.0
40,70001725,70001725,1.0
41,70012070,70001725,1.0
42,70011334,70001725,0.01
43,70006151,70002130,1.0
44,70005711,70002130,0.0075190000000000005
45,70006034,70002130,0.008
46,70002130,70002130,0.008
47,70002132,70002130,1.0
48,70005500,70002708,1.0
49,70006031,70002708,0.03031
50,70006032,70002708,0.05
51,70002708,70002708,0.05
52,70012071,70002708,1.0
53,70011364,70002708,0.01
54,70004020,70002708,1.0
55,70002129,70002129,1.0
56,70012068,70002129,1.0
57,70002131,70002129,1.0
58,70007414,70007414,1.0
59,70012046,70007414,1.0
60,70000082,70012058,0.005
61,70011107,70012058,0.004
62,70012058,70012058,0.004
63,70013434,70012058,1.0
64,70000085,70000081,0.005
65,70000081,70000081,0.005
66,70012054,70000081,1.0
67,70010346,70000009,0.03031
68,70000009,70000009,0.03031
69,70015614,70000009,0.03125
70,70011981,70000009,1.0
71,70010351,70000009,0.005
72,70010349,70000009,0.01516
73,70003017,70000009,1.0
74,70006712,70000009,1.0
75,70003964,70000009,1.0
76,70002685,70001850,0.047619
77,70001850,70001850,0.047619
78,70011964,70001850,1.0
79,70006001,70004145,1.0
80,70004145,70004145,1.0
81,70000708,70000708,1.0
82,70024518,70000708,0.111111
83,70011997,70000708,1.0
84,70001330,70001330,1.0
85,70012061,70001330,1.0
86,70010296,70005414,0.5
87,70005414,70005414,0.5
88,70023444,70005414,1.0
89,70005419,70005414,0.5
90,70002688,70000695,0.003817
91,70000695,70000695,0.003817
92,70011982,70000695,1.0
93,70011983,70000695,1.0
94,70009212,70002944,0.034
95,70002944,70002944,0.034
96,70013613,70002944,0.001111
97,70007154,70002846,0.004566
98,70002846,70002846,0.004566
99,70002854,70002854,0.004566
100,70011922,70002854,1.0
101,70005987,70002845,0.006809999999999999
102,70009145,70002845,0.002336
103,70009142,70002845,0.003448
104,70009141,70002845,0.00578
105,70007181,70002845,0.006667
106,70007252,70002845,0.09
107,70007151,70002845,0.091
108,70009143,70002845,0.1
109,70009144,70002845,0.17
110,70007447,70002845,0.05
111,70007457,70002845,0.091
112,70002845,70002845,0.091
113,70011207,70002845,0.01451
114,70001601,70002845,0.01451
115,70008615,70003260,0.164
116,70003260,70003260,0.164
117,70008609,70002874,0.18
118,70002874,70002874,0.18
119,70013614,70002874,0.001111
120,70021675,70002874,0.0022299999999999998
121,70009027,70003612,0.17
122,70009029,70003612,0.17
123,70009028,70003612,0.143
124,70003612,70003612,0.143
125,70004001,70003300,0.0013333333333333333
126,70003300,70003300,0.0013333333333333333
127,70008616,70002909,0.0005560000000000001
128,70002909,70002909,0.0005560000000000001
129,70013992,70002909,0.00051
130,70009232,70003556,0.18
131,70009231,70003556,0.12
132,70009229,70003556,0.17
133,70003556,70003556,0.17
134,70009234,70003556,0.004444
135,70014751,70003556,0.00888
136,70014463,70003556,0.00445
137,70009224,70002844,0.15
138,70002844,70002844,0.15
139,70014594,70002844,0.023
140,70015530,70002844,0.17
141,70023468,70002844,0.25
142,70009222,70002833,0.143
143,70002833,70002833,0.143
144,70005348,70003570,0.00479
145,70006418,70003570,0.00592
146,70009161,70003570,0.067
147,70007721,70003570,0.17
148,70009162,70003570,0.0006670000000000001
149,70009164,70003570,0.006667
150,70009163,70003570,0.003555
151,70007316,70003570,0.05
152,70007156,70003570,0.143
153,70003570,70003570,0.143
154,70003931,70003570,0.00074
155,70024654,70003570,0.17
156,70024685,70003570,0.17
157,70006674,70002226,0.00405
158,70006680,70002226,0.00508
159,70006860,70002226,0.007690000000000001
160,70002226,70002226,0.007690000000000001
161,70008111,70000930,0.00379
162,70008110,70000930,0.00637
163,70000930,70000930,0.00637
164,70003649,70003649,0.00637
165,70003650,70003649,1.0
166,70007065,70000942,0.01563
167,70000942,70000942,0.01563
168,70021855,70000942,0.0077
169,70021856,70000942,0.005076142131979695
170,70021878,70000942,0.002519
171,70007354,70000932,0.00125
172,70000932,70000932,0.00125
173,70008005,70001976,0.00508
174,70001976,70001976,0.00508
175,70013858,70001976,0.008197
176,70010114,70010114,0.008197
177,70001554,70010114,1.0
178,70006146,70006146,1.0
179,70001402,70006146,1.0
180,70015039,70015039,1.0
181,70010118,70010118,1.0
182,70006822,70010118,1.0
183,70010116,70010116,1.0
184,70006692,70010116,1.0
185,70010115,70010115,1.0
186,70006693,70010115,1.0
187,70015029,70015030,1.0
188,70015030,70015030,1.0
189,70015031,70015032,1.0
190,70015032,70015032,1.0
191,70015037,70015038,1.0
192,70015038,70015038,1.0
193,70006695,70015038,1.0
194,70015035,70015036,1.0
195,70015036,70015036,1.0
196,70011944,70011944,1.0
197,70010139,70010139,1.0
198,70023377,70010139,1.0
199,70024116,70010139,1.0
200,70006082,70010139,1.0
201,70010134,70010134,1.0
202,70003284,70010134,1.0
203,70010138,70010138,1.0
204,70023580,70010138,1.0
205,70006079,70010138,1.0
206,70010136,70010136,1.0
207,70010137,70010136,1.0
208,70006083,70010136,1.0
209,70010135,70010135,1.0
210,70001193,70010135,1.0
211,70006084,70010135,1.0
212,70014193,70010135,1.0
213,70007440,70007440,1.0
214,70002559,70007440,1.0
215,70006788,70006788,1.0
216,70003865,70006788,1.0
217,70004662,70006788,1.0
218,70005431,70006788,1.0
219,70007593,70007593,1.0
220,70000970,70007593,1.0
221,70006659,70006659,1.0
222,70001192,70006659,1.0
223,70002560,70006659,1.0
224,70003157,70006659,1.0
225,70006792,70006792,1.0
226,70002742,70006792,1.0
227,70006664,70006664,1.0
228,70001519,70006664,1.0
229,70002743,70006664,1.0
230,70013754,70013754,1.0
231,70014192,70013754,1.0
232,70023187,70023187,1.0
233,70023186,70023187,1.0
234,70023189,70023189,1.0
235,70023188,70023189,1.0
236,70005857,70005857,1.0
237,70010790,70005857,0.04348
238,70005937,70005857,0.06667000000000001
239,70005938,70005857,0.08334
240,70010788,70005857,0.11112000000000001
241,70010791,70005857,0.14286000000000001
242,70006086,70005857,0.333334
243,70013432,70013432,0.333334
244,70013500,70013432,0.16666999999999998
245,70013928,70013928,0.16666999999999998
246,70010717,70012020,0.33333300000000005
247,70005950,70012020,0.333334
248,70012020,70012020,0.333334
249,70005536,70005536,0.333334
250,70010769,70005536,0.02
251,70010765,70005536,0.03031
252,70005939,70005536,0.05
253,70010773,70005536,0.125
254,70010772,70005536,0.14286000000000001
255,70010771,70005536,0.2
256,70010770,70005536,0.2
257,70010768,70005536,0.25
258,70010767,70005536,0.25
259,70010766,70005536,0.33333999999999997
260,70010764,70005536,0.33333999999999997
261,70013533,70005536,0.1
262,70023085,70005536,0.07693000000000001
263,70023099,70005536,0.111111
264,70023102,70005536,0.142857
265,70023088,70005536,0.09090999999999999
266,70023096,70005536,0.1
267,70023092,70005536,0.09090999999999999
268,70023094,70005536,0.09090999999999999
269,70024098,70005536,0.142857
270,70014008,70005536,0.1
271,70003844,70005536,0.125
272,70003921,70005536,0.14286000000000001
273,70003845,70005536,0.2
274,70003924,70005536,0.2
275,70003846,70005536,0.25
276,70004497,70005536,0.25
277,70014849,70014849,0.25
278,70014850,70014849,1.0
279,70012023,70012023,1.0
280,70005501,70005501,1.0
281,70005689,70005501,0.0125
282,70005690,70005501,0.015151999999999999
283,70005691,70005501,0.02
284,70005692,70005501,0.04
285,70006033,70005501,0.01563
286,70011332,70005501,0.01
287,70011331,70005501,0.025
288,70011329,70005501,0.030303
289,70011333,70005501,0.05
290,70011328,70005501,0.01725
291,70011327,70005501,0.01961
292,70012070,70012070,0.01961
293,70011334,70011334,0.01961
294,70003928,70011334,1.0
295,70006151,70006151,1.0
296,70005711,70005711,1.0
297,70011318,70005711,0.125
298,70006034,70006034,0.125
299,70003552,70006034,1.0
300,70002132,70002132,1.0
301,70005500,70005500,1.0
302,70005674,70005500,0.01516
303,70005675,70005500,0.02
304,70005677,70005500,0.03031
305,70005676,70005500,0.04
306,70005678,70005500,0.05
307,70015300,70005500,0.076923
308,70006031,70006031,0.076923
309,70003983,70006031,1.0
310,70006032,70006032,1.0
311,70013977,70006032,1.0
312,70003984,70006032,1.0
313,70012071,70012071,1.0
314,70011364,70011364,1.0
315,70005403,70011364,1.0
316,70004020,70004020,1.0
317,70007683,70012068,0.16666999999999998
318,70012068,70012068,0.16666999999999998
319,70002131,70002131,0.16666999999999998
320,70005761,70012046,0.005
321,70011001,70012046,0.005
322,70012046,70012046,0.005
323,70000082,70000082,0.005
324,72000356,70000082,0.25
325,70011107,70011107,0.25
326,70003926,70011107,1.0
327,70013434,70013434,1.0
328,70000085,70000085,1.0
329,72000357,70000085,0.25
330,70005745,70012054,0.005
331,70012054,70012054,0.005
332,70010346,70010346,0.005
333,70010345,70010346,1.0
334,70015613,70015614,1.0
335,70015614,70015614,1.0
336,70010344,70011981,0.06667000000000001
337,70010343,70011981,0.125
338,70010342,70011981,0.2
339,70010341,70011981,0.33333999999999997
340,70007110,70011981,0.03226
341,70015612,70011981,0.06667000000000001
342,70015443,70011981,0.25
343,70011981,70011981,0.25
344,70009298,70010351,1.0
345,70010351,70010351,1.0
346,70010349,70010349,1.0
347,70005881,70010349,1.0
348,70003017,70003017,1.0
349,70006712,70006712,1.0
350,70003964,70003964,1.0
351,70002685,70002685,1.0
352,70005556,70002685,1.0
353,70005560,70002685,0.5
354,70011964,70011964,0.5
355,70006001,70006001,0.5
356,70010548,70006001,0.07693000000000001
357,70010551,70006001,0.04
358,70010550,70006001,0.04167
