,c,semana,quantidade
0,70001382,3,0.0
1,70001382,4,0.0
2,70001382,5,0.0
3,70001382,6,0.0
4,70001382,7,0.0
5,70001382,8,0.0
6,70001382,9,0.0
7,70001382,10,0.0
8,70001382,11,0.0
9,70001382,12,0.0
10,70001382,13,0.0
11,70001382,14,0.0
12,70001382,15,0.0
13,70001382,16,0.0
14,70001382,17,0.0
15,70001382,18,0.0
16,70001382,19,0.0
17,70001382,20,0.0
18,70001382,21,0.0
19,70001382,22,0.0
20,70001382,23,0.0
21,70001382,24,0.0
22,70001382,25,0.0
23,70001382,26,0.0
24,70001382,27,0.0
25,70001382,28,0.0
26,70001382,29,0.0
27,70001382,30,0.0
28,70001382,31,0.0
29,70001382,32,0.0
30,70001382,33,0.0
31,70001382,34,0.0
32,70001382,35,0.0
33,70001382,36,0.0
34,70001382,37,0.0
35,70001382,38,0.0
36,70001382,39,0.0
37,70001382,40,0.0
38,70001382,41,0.0
39,70001382,42,0.0
40,70001382,43,0.0
41,70001382,44,297.0
42,70001382,45,0.0
43,70001382,46,0.0
44,70001382,47,0.0
45,70001382,48,0.0
46,70001382,49,0.0
47,70001382,50,0.0
48,70001382,51,0.0
49,70001382,52,0.0
50,70001382,53,0.0
51,70001382,54,0.0
52,70001382,55,0.0
53,70004828,3,0.0
54,70004828,4,0.0
55,70004828,5,0.0
56,70004828,6,0.0
57,70004828,7,0.0
58,70004828,8,0.0
59,70004828,9,0.0
60,70004828,10,0.0
61,70004828,11,0.0
62,70004828,12,0.0
63,70004828,13,0.0
64,70004828,14,0.0
65,70004828,15,0.0
66,70004828,16,0.0
67,70004828,17,0.0
68,70004828,18,0.0
69,70004828,19,0.0
70,70004828,20,0.0
71,70004828,21,0.0
72,70004828,22,0.0
73,70004828,23,0.0
74,70004828,24,0.0
75,70004828,25,0.0
76,70004828,26,0.0
77,70004828,27,0.0
78,70004828,28,0.0
79,70004828,29,0.0
80,70004828,30,0.0
81,70004828,31,0.0
82,70004828,32,0.0
83,70004828,33,0.0
84,70004828,34,0.0
85,70004828,35,0.0
86,70004828,36,0.0
87,70004828,37,0.0
88,70004828,38,0.0
89,70004828,39,0.0
90,70004828,40,0.0
91,70004828,41,0.0
92,70004828,42,0.0
93,70004828,43,0.0
94,70004828,44,0.0
95,70004828,45,0.0
96,70004828,46,0.0
97,70004828,47,0.0
98,70004828,48,0.0
99,70004828,49,0.0
100,70004828,50,0.0
101,70004828,51,0.0
102,70004828,52,0.0
103,70004828,53,0.0
104,70004828,54,0.0
105,70004828,55,0.0
106,70002074,3,0.0
107,70002074,4,0.0
108,70002074,5,0.0
109,70002074,6,0.0
110,70002074,7,0.0
111,70002074,8,0.0
112,70002074,9,0.0
113,70002074,10,0.0
114,70002074,11,0.0
115,70002074,12,0.0
116,70002074,13,0.0
117,70002074,14,0.0
118,70002074,15,0.0
119,70002074,16,0.0
120,70002074,17,0.0
121,70002074,18,0.0
122,70002074,19,0.0
123,70002074,20,0.0
124,70002074,21,0.0
125,70002074,22,0.0
126,70002074,23,0.0
127,70002074,24,0.0
128,70002074,25,0.0
129,70002074,26,0.0
130,70002074,27,0.0
131,70002074,28,0.0
132,70002074,29,0.0
133,70002074,30,0.0
134,70002074,31,0.0
135,70002074,32,0.0
136,70002074,33,0.0
137,70002074,34,0.0
138,70002074,35,0.0
139,70002074,36,0.0
140,70002074,37,0.0
141,70002074,38,0.0
142,70002074,39,0.0
143,70002074,40,0.0
144,70002074,41,0.0
145,70002074,42,0.0
146,70002074,43,0.0
147,70002074,44,0.0
148,70002074,45,0.0
149,70002074,46,0.0
150,70002074,47,0.0
151,70002074,48,0.0
152,70002074,49,0.0
153,70002074,50,0.0
154,70002074,51,0.0
155,70002074,52,0.0
156,70002074,53,0.0
157,70002074,54,0.0
158,70002074,55,0.0
159,70003386,3,0.0
160,70003386,4,0.0
161,70003386,5,0.0
162,70003386,6,0.0
163,70003386,7,0.0
164,70003386,8,0.0
165,70003386,9,0.0
166,70003386,10,0.0
167,70003386,11,0.0
168,70003386,12,0.0
169,70003386,13,0.0
170,70003386,14,0.0
171,70003386,15,0.0
172,70003386,16,0.0
173,70003386,17,0.0
174,70003386,18,0.0
175,70003386,19,0.0
176,70003386,20,0.0
177,70003386,21,0.0
178,70003386,22,0.0
179,70003386,23,0.0
180,70003386,24,0.0
181,70003386,25,0.0
182,70003386,26,0.0
183,70003386,27,0.0
184,70003386,28,0.0
185,70003386,29,0.0
186,70003386,30,0.0
187,70003386,31,0.0
188,70003386,32,0.0
189,70003386,33,0.0
190,70003386,34,0.0
191,70003386,35,0.0
192,70003386,36,0.0
193,70003386,37,0.0
194,70003386,38,0.0
195,70003386,39,0.0
196,70003386,40,0.0
197,70003386,41,0.0
198,70003386,42,0.0
199,70003386,43,0.0
200,70003386,44,0.0
201,70003386,45,0.0
202,70003386,46,0.0
203,70003386,47,0.0
204,70003386,48,0.0
205,70003386,49,280.01847999999995
206,70003386,50,149.34528
207,70003386,51,0.0
