,ov,semana_algoritmo,semana_plan_real
0,3820015107.0,51,-1
1,3820015098.0,51,-1
2,3820015072.0,48,-1
3,3820014995.0,48,-1
4,3820015105.0,41,-1
5,3820015033.0,41,-1
6,3820015099.0,49,-1
7,3820015030.0,48,-1
8,3820015067.0,48,-1
9,3820015066.0,48,-1
10,3820015063.0,48,-1
11,3820015037.0,44,-1
12,3823000812.0,41,-1
13,3820015040.0,41,-1
14,3823000819.0,42,-1
15,3820015080.0,48,-1
16,3820015078.0,53,-1
17,3823000813.0,49,-1
18,3820015075.0,41,-1
19,3823000818.0,48,-1
20,3823000817.0,48,-1
21,3820015102.0,51,-1
22,3820015074.0,46,-1
23,3820015070.0,51,-1
24,3820015068.0,41,-1
25,3820015041.0,41,-1
26,3820015032.0,48,-1
27,3826000006.0,-1,40
28,3823000816.0,-1,41
29,3823000815.0,-1,43
30,3823000814.0,-1,50
31,3823000809.0,-1,46
32,3823000808.0,-1,45
33,3823000805.0,-1,46
34,3823000804.0,-1,44
35,3823000803.0,-1,49
36,3823000802.0,-1,47
37,3823000800.0,-1,44
38,3823000799.0,-1,51
39,3823000798.0,-1,51
40,3823000797.0,-1,43
41,3823000796.0,-1,43
42,3823000795.0,-1,39
43,3823000794.0,-1,47
44,3823000793.0,-1,46
45,3823000792.0,-1,45
46,3823000791.0,-1,46
47,3823000790.0,-1,45
48,3823000789.0,-1,39
49,3823000787.0,-1,45
50,3823000785.0,-1,47
51,3823000784.0,-1,44
52,3823000783.0,-1,43
53,3823000782.0,-1,43
54,3823000780.0,-1,49
55,3823000779.0,-1,39
56,3823000777.0,-1,46
57,3823000776.0,-1,43
58,3823000775.0,-1,43
59,3823000774.0,-1,48
60,3823000771.0,-1,49
61,3823000770.0,-1,45
62,3823000769.0,-1,44
63,3823000768.0,-1,46
64,3823000767.0,-1,47
65,3823000764.0,-1,45
66,3823000763.0,-1,49
67,3823000761.0,-1,45
68,3823000760.0,-1,46
69,3823000759.0,-1,44
70,3823000758.0,-1,40
71,3823000757.0,-1,46
72,3823000756.0,-1,40
73,3823000755.0,-1,43
74,3823000754.0,-1,43
75,3823000752.0,-1,38
