,Material,Componente,FI0,Quantidade componente,col_bmeng
1,70015026,70015025,1.0,1.0,1.0
5,70015027,70015028,1.0,1000.0,1000.0
6,70015042,70015043,1.0,1000.0,1000.0
9,70015040,70015041,12.0,12.0,1.0
16,70015029,70015030,1.0,1000.0,1000.0
18,70015039,70004828,1.0,100.0,100.0
20,70015037,70015038,1.0,1000.0,1000.0
23,70015031,70015032,1.0,1000.0,1000.0
26,70015035,70015036,1.0,1000.0,1000.0
34,72001210,72001284,1.0,90.0,90.0
35,42000164,45000011,1.0,1000.0,1000.0
37,42000164,41000148,0.06,60.0,1000.0
40,70015044,70000084,1.0,1.0,1.0
43,70014867,70014866,1.0,1000.0,1000.0
49,70015066,70015067,1.0,1000.0,1000.0
53,70015079,70015078,1.0,1000.0,1000.0
57,70001530,70000990,1.0,1.0,1.0
58,70015094,70015108,44.0,44.0,1.0
64,70014322,70006569,1.0,1000.0,1000.0
67,70015096,70015097,1.0,1000.0,1000.0
69,70015070,70015069,1.0,1000.0,1000.0
72,70015081,70015080,1.0,1000.0,1000.0
75,70015087,70015086,1.0,1000.0,1000.0
78,70015089,70008998,1.0,1.0,1.0
81,70015101,70015102,1.0,1000.0,1000.0
87,70015103,70015104,1.0,1000.0,1000.0
89,70015110,70015111,1.0,1000.0,1000.0
94,72001037,72001255,1.0,600.0,600.0
97,72001228,72001229,1.0,300.0,300.0
101,72001224,72001225,1.0,220.0,220.0
107,72001226,72001227,1.0,400.0,400.0
110,72001219,72001230,1.0,1440.0,1440.0
115,72001221,72001220,1.0,1440.0,1440.0
120,71001952,71001951,1.0,1000.0,1000.0
124,71001953,71001269,1.0,1000.0,1000.0
126,70015145,70015144,1.24,1240.0,1000.0
130,70015154,70015155,1.0,1.0,1.0
138,70015156,70015157,1.0,1.0,1.0
141,70015166,70015167,1.28,1280.0,1000.0
145,70015153,70015147,44.0,44.0,1.0
150,72001231,72001232,1.0,1000.0,1000.0
156,70015143,70006592,1.0,1000.0,1000.0
157,70015165,70015164,1.0,1000.0,1000.0
163,70001486,70001187,1.0,1.0,1.0
166,70001314,70001189,1.0,1.0,1.0
169,72001233,90100347,4.0,200.0,50.0
171,72001233,90100319,1.0,50.0,50.0
173,72001233,72001234,1.0,50.0,50.0
174,72001233,90100497,1.0,50.0,50.0
176,70014209,70006638,1.0,1000.0,1000.0
179,72001235,72000302,1.0,600.0,600.0
181,72001235,90100319,1.0,600.0,600.0
185,72001236,90100319,1.0,100.0,100.0
187,72001236,72000303,1.0,100.0,100.0
193,70015170,70000112,1.0,1.0,1.0
196,70015181,70015182,1.0,1000.0,1000.0
200,70015179,70015180,1.0,1000.0,1000.0
203,70005158,70010425,1.0,1000.0,1000.0
204,70001438,70015621,1.0,1.0,1.0
209,70014040,70004484,1.0,1000.0,1000.0
212,70014041,70010178,1.0,1000.0,1000.0
214,71001954,71001955,1.0,1000.0,1000.0
218,70015189,70015188,1.0,1000.0,1000.0
220,70015046,70000475,0.16666,166.66,1000.0
224,70014100,70015203,1.0,1.0,1.0
225,72000933,72000304,1.0,1200.0,1200.0
232,70015074,70015077,1.0,1000.0,1000.0
235,70015053,70007423,1.0,1000.0,1000.0
238,70015088,70005999,0.5,500.0,1000.0
243,70007675,70015218,1.0,24.0,24.0
246,71000403,71001976,1.0,1000.0,1000.0
247,70007633,70007627,1.0,1000.0,1000.0
253,70015216,70008989,1.0,1000.0,1000.0
254,70015158,90100253,0.057144,57.144,1000.0
255,70015158,70015159,1.0,1000.0,1000.0
259,70015217,70000084,1.0,1.0,1.0
262,70002093,70013895,1.0,1000.0,1000.0
265,70015219,70006663,1.0,1.0,1.0
269,70015220,70008957,1.0,1.0,1.0
271,70015221,70008998,1.0,1.0,1.0
273,70015222,70008942,1.0,1.0,1.0
277,70015223,70008939,1.0,1.0,1.0
281,70015224,70008954,1.0,1.0,1.0
284,70015225,70006623,1.0,1000.0,1000.0
287,70015227,70015226,1.0,1000.0,1000.0
289,70015228,70008928,1.0,1000.0,1000.0
294,70015233,70005632,1.0,1000.0,1000.0
295,72000936,72000010,1.0,390.0,390.0
297,72000936,72000324,1.0,390.0,390.0
300,72000936,72000322,1.0,390.0,390.0
302,72000602,90100319,1.0,600.0,600.0
304,72000602,72001265,1.0,600.0,600.0
307,70015229,70015230,1.0,1000.0,1000.0
310,70015240,70015239,1.0,1000.0,1000.0
312,70014112,70004241,0.11112000000000001,111.12,1000.0
314,70014285,70007553,11.0,11000.0,1000.0
319,72000649,72001271,1.0,690.0,690.0
323,70015231,70015232,1.0,1000.0,1000.0
326,70015235,70004868,1.0,1000.0,1000.0
327,70015241,70000023,1.0,1000.0,1000.0
329,70015234,70004513,0.5,500.0,1000.0
334,72001272,72000222,1.0,140.0,140.0
338,70014021,70013544,1.0,1000.0,1000.0
340,42000183,41000148,0.06,60.0,1000.0
343,42000183,45000011,1.0,1000.0,1000.0
344,70001527,70009653,1.0,1000.0,1000.0
350,70013962,70005873,1.0,1000.0,1000.0
354,70013961,70011579,1.0,1000.0,1000.0
356,72001256,72000951,1.0,360.0,360.0
361,72001258,72001257,1.0,360.0,360.0
366,72001268,72001267,1.0,480.0,480.0
368,72001259,72000955,1.0,300.0,300.0
370,70015269,70015268,1.0,1000.0,1000.0
376,71001997,71001996,1.0,1000.0,1000.0
380,70015270,70011864,1.0,1000.0,1000.0
383,70015252,70015292,1.0,1000.0,1000.0
386,70015271,70011853,1.0,1000.0,1000.0
389,70015272,70005565,1.0,1000.0,1000.0
394,70015283,70008946,1.0,1.0,1.0
397,72001262,72000952,1.0,120.0,120.0
401,72001261,72001260,1.0,300.0,300.0
403,72001264,72001263,1.0,300.0,300.0
406,70015273,70005845,0.11112000000000001,111.12,1000.0
408,70015266,70005606,1.0,1000.0,1000.0
411,70015277,70015278,1.0,1000.0,1000.0
415,70015275,70015276,1.0,1000.0,1000.0
416,70015267,70005611,1.0,1000.0,1000.0
