,Semana,Centro de Trabalho,Acabamento,OV,Item,OF,Material,Descrição,Quantidade,Quantidade Fornecida,aglomerado
0,12,CRMRLMEI,Total,3826000006.0,30.0,1600124737,70003130,"RL CR 711G/PAL 1040X1,5-44M 01",18.0,0.0,-1
1,12,CRMLAMRL,Total,3826000006.0,30.0,1600124738,70006584,"RL CR 711G/PAL 1040X1,5 NE",792.0,0.0,-1
2,20,CRMRLMEI,Total,3826000005.0,20.0,1600031584,70007763,RL CI 5700/2TI 1000X20/10-10M PA,144.0,0.0,-1
3,19,CRMRLMEI,Total,3826000005.0,10.0,1600031585,70007763,RL CI 5700/2TI 1000X20/10-10M PA,144.0,0.0,-1
4,23,CRMRLMEI,Total,3826000005.0,30.0,1600031586,70007763,RL CI 5700/2TI 1000X20/10-10M PA,144.0,0.0,-1
5,18,CRMRLMEI,Total,3826000005.0,40.0,1600031587,70007763,RL CI 5700/2TI 1000X20/10-10M PA,144.0,0.0,-1
6,18,CRMRLMEI,Total,3826000005.0,50.0,1600031588,70007763,RL CI 5700/2TI 1000X20/10-10M PA,144.0,0.0,-1
7,19,CRMRLMEI,Total,3826000005.0,60.0,1600031589,70007763,RL CI 5700/2TI 1000X20/10-10M PA,80.0,0.0,-1
8,19,CRMLAMRL,Total,3826000005.0,60.0,1600087509,70015573,"RL CI 5700/T01 1000X30,0 NE",400.0,0.0,-1
9,18,CRMDIV01,Total,3826000005.0,50.0,1600090773,70015574,RL CI 5700/T01 1000X20/10 NE,1440.0,0.0,-1
10,18,CRMLAMRL,Total,3826000005.0,50.0,1600090774,70015573,"RL CI 5700/T01 1000X30,0 NE",720.0,0.0,-1
11,19,CRMDIV01,Total,3826000005.0,60.0,1600092069,70015574,RL CI 5700/T01 1000X20/10 NE,800.0,0.0,-1
12,23,CRMDIV01,Total,3826000005.0,30.0,1600096909,70015574,RL CI 5700/T01 1000X20/10 NE,1440.0,0.0,-1
13,23,CRMLAMRL,Total,3826000005.0,30.0,1600096910,70015573,"RL CI 5700/T01 1000X30,0 NE",720.0,0.0,-1
14,5,CCSCNCMQ,Total,3823001397.0,40.0,1600126235,72000256,ES CC 8405 BL YOGA 225X150X100 000 NE,2000.0,0.0,-1
15,5,CCSEBMTR,Total,3823001397.0,40.0,1600126236,72000835,ES CC 8405 BL YOGA 225X150X100 02,2000.0,0.0,-1
16,13,CRMRLMEI,Total,3823001397.0,10.0,1600126377,70001075,"RL CR N711/PAL 1027X1,17-305M 00",1.0,0.0,-1
17,13,CRMLAMRL,Total,3823001397.0,10.0,1600126378,70007295,"RL CR N711/PAL 1027X1,17 NE",305.0,0.0,-1
18,15,CRMRLMEI,Total,3823001397.0,20.0,1600126379,70024779,"RL CR 2549/T01 1067X1,5-304M 01",25.0,0.0,-1
19,16,CRMRLMEI,Total,3823001397.0,20.0,1600126400,70024779,"RL CR 2549/T01 1067X1,5-304M 01",26.0,0.0,-1
