,id_ov,cod_ov,data
0,0,3826000006.0,19
1,1,3826000005.0,19
2,2,3825000015.0,19
3,3,3823000515.0,36
4,4,3823000514.0,19
5,5,3823000513.0,31
6,6,3823000513.0,19
7,7,3823000512.0,1
8,8,3823000512.0,19
9,9,3823000511.0,1
10,10,3823000511.0,19
11,11,3823000510.0,1
12,12,3823000510.0,19
13,13,3823000509.0,1
14,14,3823000509.0,19
15,15,3823000508.0,20
16,16,3823000508.0,19
17,17,3823000507.0,20
18,18,3823000507.0,19
19,19,3823000504.0,21
20,20,3823000504.0,19
21,21,3823000481.0,19
22,22,3823000433.0,19
23,23,3823000424.0,19
24,24,3823000419.0,19
25,25,3823000379.0,19
26,26,3823000366.0,19
27,27,3823000341.0,19
28,28,3823000332.0,19
29,29,3823000328.0,19
30,30,3823000325.0,19
31,31,3823000323.0,19
32,32,3823000321.0,19
33,33,3823000319.0,19
34,34,3823000296.0,19
35,35,3823000271.0,19
36,36,3823000269.0,19
37,37,3823000225.0,19
38,38,3820011233.0,19
39,39,3820011232.0,21
40,40,3820011231.0,19
41,41,3820011230.0,29
42,42,3820011230.0,19
43,43,3820011229.0,1
44,44,3820011229.0,19
45,45,3820011228.0,31
46,46,3820011228.0,19
47,47,3820011220.0,20
48,48,3820011220.0,19
49,49,3820011214.0,25
50,50,3820011214.0,19
51,51,3820011212.0,21
52,52,3820011212.0,19
53,53,3820011209.0,21
54,54,3820011209.0,19
55,55,3820011207.0,14
56,56,3820011207.0,19
57,57,3820011206.0,31
58,58,3820011206.0,19
59,59,3820011205.0,5
60,60,3820011205.0,19
61,61,3820011204.0,21
62,62,3820011204.0,19
63,63,3820011203.0,25
64,64,3820011203.0,19
65,65,3820011202.0,1
66,66,3820011202.0,19
67,67,3820011201.0,19
68,68,3820011200.0,25
69,69,3820011200.0,19
70,70,3820011199.0,29
71,71,3820011199.0,19
72,72,3820011198.0,26
73,73,3820011198.0,19
74,74,3820011197.0,24
75,75,3820011197.0,19
76,76,3820011196.0,1
77,77,3820011196.0,19
78,78,3820011194.0,19
79,79,3820011193.0,30
80,80,3820011193.0,19
81,81,3820011192.0,19
82,82,3820011190.0,21
83,83,3820011190.0,19
84,84,3820011189.0,31
85,85,3820011189.0,19
86,86,3820011188.0,5
87,87,3820011188.0,19
88,88,3820011187.0,19
89,89,3820011186.0,1
90,90,3820011186.0,19
91,91,3820011184.0,21
92,92,3820011184.0,19
93,93,3820011182.0,24
94,94,3820011182.0,19
95,95,3820011173.0,21
96,96,3820011173.0,19
97,97,3820011171.0,33
98,98,3820011171.0,19
99,99,3820011170.0,25
100,100,3820011170.0,19
101,101,3820011169.0,49
102,102,3820011169.0,19
103,103,3820011168.0,32
104,104,3820011168.0,19
105,105,3820011167.0,33
106,106,3820011167.0,19
107,107,3820011166.0,37
108,108,3820011166.0,19
109,109,3820011165.0,1
110,110,3820011165.0,19
111,111,3820011164.0,34
